[2025-01-24 00:05:57,118 INFO LIGO_Hanford]: Logging to /scratch/bcbw/parthpatel7173/MMA_GravitationalWave/examples/output/result_LIGO_Hanford_2025-01-24-00:05:57.txt
[2025-01-24 00:05:57,210 INFO LIGO_Hanford]: [Detector 1] Waiting for ServerStarted event...
[2025-01-24 00:06:05,464 INFO LIGO_Hanford]: [Detector 1] msg: ConsumerRecord(topic='mma-GWwave-Triggers', partition=0, offset=0, timestamp=1737698609982, timestamp_type=0, key=None, value=b'{"EventType": "ServerStarted", "detector_config": {"generator_configs": {"do_inference": true}, "comm_configs": {"compressor_configs": {"enable_compression": false}}}}', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=167, serialized_header_size=-1)
[2025-01-24 00:06:05,464 INFO LIGO_Hanford]: [Detector 1] Received ServerStarted event.
[2025-01-24 00:06:10,660 INFO LIGO_Hanford]: [Detector 1] Published DetectorReady event.
[2025-01-24 00:06:10,661 INFO LIGO_Hanford]: [Detector 1] ready for inference. Now computing embeddings and sending to server...
[2025-01-24 00:06:10,661 INFO LIGO_Hanford]: [Detector 1] Performing inference on GW200129 dataset
[2025-01-24 00:06:12,007 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=0, shift=preds_0
[2025-01-24 00:06:12,345 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=1, shift=preds_0
[2025-01-24 00:06:12,669 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=2, shift=preds_0
[2025-01-24 00:06:13,022 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=3, shift=preds_0
[2025-01-24 00:06:13,344 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=4, shift=preds_0
[2025-01-24 00:06:13,665 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=5, shift=preds_0
[2025-01-24 00:06:14,057 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=6, shift=preds_0
[2025-01-24 00:06:14,390 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=7, shift=preds_0
[2025-01-24 00:06:14,717 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=8, shift=preds_0
[2025-01-24 00:06:15,049 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=9, shift=preds_0
[2025-01-24 00:06:15,381 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=10, shift=preds_0
[2025-01-24 00:06:15,704 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=11, shift=preds_0
[2025-01-24 00:06:16,041 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=12, shift=preds_0
[2025-01-24 00:06:16,389 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=13, shift=preds_0
[2025-01-24 00:06:16,715 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=14, shift=preds_0
[2025-01-24 00:06:17,054 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=15, shift=preds_0
[2025-01-24 00:06:17,373 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=16, shift=preds_0
[2025-01-24 00:06:17,694 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=17, shift=preds_0
[2025-01-24 00:06:18,338 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=18, shift=preds_0
[2025-01-24 00:06:18,666 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=19, shift=preds_0
[2025-01-24 00:06:19,229 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=20, shift=preds_0
[2025-01-24 00:06:19,569 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=21, shift=preds_0
[2025-01-24 00:06:19,906 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=22, shift=preds_0
[2025-01-24 00:06:20,233 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=23, shift=preds_0
[2025-01-24 00:06:20,559 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=24, shift=preds_0
[2025-01-24 00:06:20,883 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=25, shift=preds_0
[2025-01-24 00:06:24,014 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=26, shift=preds_0
[2025-01-24 00:06:26,347 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=27, shift=preds_0
[2025-01-24 00:06:26,669 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=28, shift=preds_0
[2025-01-24 00:06:31,503 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=29, shift=preds_0
[2025-01-24 00:06:31,843 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=30, shift=preds_0
[2025-01-24 00:06:32,221 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=31, shift=preds_0
[2025-01-24 00:06:32,570 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=32, shift=preds_0
[2025-01-24 00:06:32,908 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=33, shift=preds_0
[2025-01-24 00:06:33,256 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=34, shift=preds_0
[2025-01-24 00:06:33,588 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=35, shift=preds_0
[2025-01-24 00:06:33,918 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=36, shift=preds_0
[2025-01-24 00:06:34,317 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=37, shift=preds_0
[2025-01-24 00:06:34,648 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=38, shift=preds_0
[2025-01-24 00:06:34,999 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=39, shift=preds_0
[2025-01-24 00:06:35,346 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=40, shift=preds_0
[2025-01-24 00:06:35,675 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=41, shift=preds_0
[2025-01-24 00:06:36,022 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=42, shift=preds_0
[2025-01-24 00:06:36,352 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=43, shift=preds_0
[2025-01-24 00:06:36,686 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=44, shift=preds_0
[2025-01-24 00:06:37,036 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=45, shift=preds_0
[2025-01-24 00:06:37,371 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=46, shift=preds_0
[2025-01-24 00:06:37,701 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=47, shift=preds_0
[2025-01-24 00:06:38,039 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=48, shift=preds_0
[2025-01-24 00:06:38,370 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=49, shift=preds_0
[2025-01-24 00:06:38,702 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=50, shift=preds_0
[2025-01-24 00:06:39,049 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=51, shift=preds_0
[2025-01-24 00:06:39,384 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=52, shift=preds_0
[2025-01-24 00:06:39,718 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=53, shift=preds_0
[2025-01-24 00:06:40,156 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=54, shift=preds_0
[2025-01-24 00:06:40,483 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=55, shift=preds_0
[2025-01-24 00:06:40,807 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=56, shift=preds_0
[2025-01-24 00:06:41,152 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=57, shift=preds_0
[2025-01-24 00:06:41,489 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=58, shift=preds_0
[2025-01-24 00:06:41,845 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=59, shift=preds_0
[2025-01-24 00:06:42,197 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=60, shift=preds_0
[2025-01-24 00:06:42,529 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=61, shift=preds_0
[2025-01-24 00:06:43,699 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=62, shift=preds_0
[2025-01-24 00:06:47,955 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=63, shift=preds_0
[2025-01-24 00:06:48,298 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=64, shift=preds_0
[2025-01-24 00:06:48,629 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=65, shift=preds_0
[2025-01-24 00:06:48,985 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=66, shift=preds_0
[2025-01-24 00:06:49,328 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=67, shift=preds_0
[2025-01-24 00:06:49,652 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=68, shift=preds_0
[2025-01-24 00:06:54,203 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=69, shift=preds_0
[2025-01-24 00:06:54,541 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=70, shift=preds_0
[2025-01-24 00:06:54,868 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=71, shift=preds_0
[2025-01-24 00:06:55,218 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=72, shift=preds_0
[2025-01-24 00:06:55,550 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=73, shift=preds_0
[2025-01-24 00:06:55,892 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=74, shift=preds_0
[2025-01-24 00:07:03,686 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=75, shift=preds_0
[2025-01-24 00:07:04,745 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=76, shift=preds_0
[2025-01-24 00:07:12,318 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=77, shift=preds_0
[2025-01-24 00:07:12,659 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=78, shift=preds_0
[2025-01-24 00:07:13,002 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=79, shift=preds_0
[2025-01-24 00:07:13,351 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=80, shift=preds_0
[2025-01-24 00:07:13,680 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=81, shift=preds_0
[2025-01-24 00:07:14,030 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=82, shift=preds_0
[2025-01-24 00:07:14,362 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=83, shift=preds_0
[2025-01-24 00:07:14,692 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=84, shift=preds_0
[2025-01-24 00:07:16,920 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=85, shift=preds_0
[2025-01-24 00:07:17,257 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=86, shift=preds_0
[2025-01-24 00:07:17,587 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=87, shift=preds_0
[2025-01-24 00:07:17,919 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=88, shift=preds_0
[2025-01-24 00:07:19,297 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=89, shift=preds_0
[2025-01-24 00:07:19,637 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=90, shift=preds_0
[2025-01-24 00:07:19,968 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=91, shift=preds_0
[2025-01-24 00:07:20,315 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=92, shift=preds_0
[2025-01-24 00:07:20,646 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=93, shift=preds_0
[2025-01-24 00:07:21,241 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=94, shift=preds_0
[2025-01-24 00:07:21,576 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=95, shift=preds_0
[2025-01-24 00:07:21,916 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=96, shift=preds_0
[2025-01-24 00:07:22,276 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=97, shift=preds_0
[2025-01-24 00:07:22,607 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=98, shift=preds_0
[2025-01-24 00:07:22,935 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=99, shift=preds_0
[2025-01-24 00:07:23,285 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=100, shift=preds_0
[2025-01-24 00:07:23,612 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=101, shift=preds_0
[2025-01-24 00:07:23,936 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=102, shift=preds_0
[2025-01-24 00:07:24,298 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=103, shift=preds_0
[2025-01-24 00:07:24,628 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=104, shift=preds_0
[2025-01-24 00:07:24,956 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=105, shift=preds_0
[2025-01-24 00:07:25,295 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=106, shift=preds_0
[2025-01-24 00:07:25,622 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=107, shift=preds_0
[2025-01-24 00:07:25,991 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=108, shift=preds_0
[2025-01-24 00:07:26,396 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=109, shift=preds_0
[2025-01-24 00:07:26,726 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=110, shift=preds_0
[2025-01-24 00:07:27,742 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=111, shift=preds_0
[2025-01-24 00:07:35,446 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=112, shift=preds_0
[2025-01-24 00:07:35,956 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=113, shift=preds_0
[2025-01-24 00:07:36,324 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=114, shift=preds_0
[2025-01-24 00:07:36,653 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=115, shift=preds_0
[2025-01-24 00:07:36,982 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=116, shift=preds_0
[2025-01-24 00:07:42,463 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=117, shift=preds_0
[2025-01-24 00:07:42,789 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=118, shift=preds_0
[2025-01-24 00:07:44,475 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=119, shift=preds_0
[2025-01-24 00:07:44,801 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=120, shift=preds_0
[2025-01-24 00:07:45,228 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=121, shift=preds_0
[2025-01-24 00:07:45,563 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=122, shift=preds_0
[2025-01-24 00:07:45,892 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=123, shift=preds_0
[2025-01-24 00:07:46,292 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=124, shift=preds_0
[2025-01-24 00:07:46,632 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=125, shift=preds_0
[2025-01-24 00:07:46,973 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=126, shift=preds_0
[2025-01-24 00:07:47,330 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=127, shift=preds_0
[2025-01-24 00:07:47,660 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=128, shift=preds_0
[2025-01-24 00:07:47,990 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=129, shift=preds_0
[2025-01-24 00:07:48,323 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=130, shift=preds_0
[2025-01-24 00:07:48,648 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=131, shift=preds_0
[2025-01-24 00:07:49,015 INFO LIGO_Hanford]: [Detector 1] Sent Embeddings: batch_id=132, shift=preds_0
