[2025-01-24 00:05:59,234 INFO LIGO_Livingston]: Logging to /scratch/bcbw/parthpatel7173/MMA_GravitationalWave/examples/output/result_LIGO_Livingston_2025-01-24-00:05:59.txt
[2025-01-24 00:05:59,363 INFO LIGO_Livingston]: [Detector 0] Waiting for ServerStarted event...
[2025-01-24 00:06:07,779 INFO LIGO_Livingston]: [Detector 0] msg: ConsumerRecord(topic='mma-GWwave-Triggers', partition=0, offset=0, timestamp=1737698609982, timestamp_type=0, key=None, value=b'{"EventType": "ServerStarted", "detector_config": {"generator_configs": {"do_inference": true}, "comm_configs": {"compressor_configs": {"enable_compression": false}}}}', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=167, serialized_header_size=-1)
[2025-01-24 00:06:07,779 INFO LIGO_Livingston]: [Detector 0] Received ServerStarted event.
[2025-01-24 00:06:11,811 INFO LIGO_Livingston]: [Detector 0] Published DetectorReady event.
[2025-01-24 00:06:11,811 INFO LIGO_Livingston]: [Detector 0] ready for inference. Now computing embeddings and sending to server...
[2025-01-24 00:06:11,812 INFO LIGO_Livingston]: [Detector 0] Performing inference on GW200129 dataset
[2025-01-24 00:06:12,891 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=0, shift=preds_0
[2025-01-24 00:06:13,402 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=1, shift=preds_0
[2025-01-24 00:06:13,906 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=2, shift=preds_0
[2025-01-24 00:06:14,340 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=3, shift=preds_0
[2025-01-24 00:06:14,807 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=4, shift=preds_0
[2025-01-24 00:06:15,287 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=5, shift=preds_0
[2025-01-24 00:06:15,713 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=6, shift=preds_0
[2025-01-24 00:06:16,177 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=7, shift=preds_0
[2025-01-24 00:06:16,684 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=8, shift=preds_0
[2025-01-24 00:06:17,080 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=9, shift=preds_0
[2025-01-24 00:06:17,517 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=10, shift=preds_0
[2025-01-24 00:06:17,958 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=11, shift=preds_0
[2025-01-24 00:06:19,598 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=12, shift=preds_0
[2025-01-24 00:06:20,039 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=13, shift=preds_0
[2025-01-24 00:06:20,476 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=14, shift=preds_0
[2025-01-24 00:06:20,935 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=15, shift=preds_0
[2025-01-24 00:06:21,373 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=16, shift=preds_0
[2025-01-24 00:06:21,807 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=17, shift=preds_0
[2025-01-24 00:06:22,241 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=18, shift=preds_0
[2025-01-24 00:06:22,673 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=19, shift=preds_0
[2025-01-24 00:06:23,102 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=20, shift=preds_0
[2025-01-24 00:06:23,530 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=21, shift=preds_0
[2025-01-24 00:06:23,965 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=22, shift=preds_0
[2025-01-24 00:06:24,505 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=23, shift=preds_0
[2025-01-24 00:06:32,935 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=24, shift=preds_0
[2025-01-24 00:06:33,475 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=25, shift=preds_0
[2025-01-24 00:06:33,869 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=26, shift=preds_0
[2025-01-24 00:06:34,305 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=27, shift=preds_0
[2025-01-24 00:06:34,708 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=28, shift=preds_0
[2025-01-24 00:06:35,139 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=29, shift=preds_0
[2025-01-24 00:06:35,635 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=30, shift=preds_0
[2025-01-24 00:06:36,109 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=31, shift=preds_0
[2025-01-24 00:06:39,323 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=32, shift=preds_0
[2025-01-24 00:06:39,686 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=33, shift=preds_0
[2025-01-24 00:06:40,122 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=34, shift=preds_0
[2025-01-24 00:06:40,553 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=35, shift=preds_0
[2025-01-24 00:06:40,985 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=36, shift=preds_0
[2025-01-24 00:06:41,419 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=37, shift=preds_0
[2025-01-24 00:06:41,853 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=38, shift=preds_0
[2025-01-24 00:06:42,295 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=39, shift=preds_0
[2025-01-24 00:06:43,033 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=40, shift=preds_0
[2025-01-24 00:06:43,495 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=41, shift=preds_0
[2025-01-24 00:06:43,941 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=42, shift=preds_0
[2025-01-24 00:06:44,379 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=43, shift=preds_0
[2025-01-24 00:06:44,811 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=44, shift=preds_0
[2025-01-24 00:06:45,268 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=45, shift=preds_0
[2025-01-24 00:06:46,066 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=46, shift=preds_0
[2025-01-24 00:06:48,220 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=47, shift=preds_0
[2025-01-24 00:06:48,644 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=48, shift=preds_0
[2025-01-24 00:06:49,111 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=49, shift=preds_0
